title,workstream,task_type,activations,owner,due_amount,due_unit,due_ref,start_amount,start_unit,start_ref,recurrence,notes
Finalize email distribution list organized by table/room,Table & room linking emails,Comms,Luncheon / Workshop,TBD,1,days,after event,,,,none,"TBD organizes final confirmed seating — removes no-shows, adds walk-ins, confirms accurate table/room mapping."
Populate linking emails: photos + LinkedIn + table discussion note,Table & room linking emails,Comms,Luncheon / Workshop,TBD,1,days,after event,,,,none,Insert final table/room photos + LinkedIn profile links per attendee + a brief note on what the table discussed. One email per table (luncheon) or room (workshop).
QA all linking emails before send,Table & room linking emails,Comms,Luncheon / Workshop,TBD,1,days,after event,,,,none,"CRITICAL QA: each email contains ONLY that table's photos and links (no cross-client mixing), all LinkedIn URLs valid, all photos render, no-shows removed, copy sounds personal not AI-generated. Test email across Gmail/Outlook/Apple Mail."
Final review + send linking emails,Table & room linking emails,Comms,Luncheon / Workshop,TBD + JG,2,days,after event,,,,none,JG final review and approval. Send individually — one email per table (luncheon) or room (workshop).
"Collect brand + client feedback, Granola notes + chief of staff notes",Post-event recap,Comms,All events,Christina + Nic,3,days,after event,,,,none,"Collect all post-event input: brand feedback, client feedback, Granola meeting notes, and chief of staff notes. Feeds into recap copy draft."
Draft post-event recap copy,Post-event recap,Comms,All events,Christina,3,days,after event,,,,none,"Full recap structure: intro, event overview, carousel of highlights, reporting/infographic (Nic), guest speaker spotlight, brand exec quotes (operator quotes — no names), feedback and learnings, gratitude (client logos), client attendee headshots + LinkedIn links, event photo album link. Uses program guide, emails, event notes."
Draft recap video copy,Post-event recap,Comms,All events,Christina,1,weeks,after event,,,,none,Draft copy for recap video.
Nic adds reporting layer + infographic,Post-event recap,Comms,All events,Nic,1,weeks,after event,,,,none,"Buyer-intent reporting, operator/client feedback summary, ESM debrief notes, and infographic visual."
"Nic reviews post-event recap copy (first draft), edits + approves",Post-event recap,Comms,All events,Nic,1,weeks,after event,,,,none,"Nic reviews Christina's first draft, makes edits, approves, and sends to JG + Marty."
JG + Marty final content review + approve,Post-event recap,Comms,All events,JG + Marty,10,days,after event,,,,none,Final content edit + approval before Webflow build.
Build visual recap in Webflow,Post-event recap,Comms,All events,Christina,10,days,after event,,,,none,"Once full gallery is available. Christina builds from Webflow template: photos, infographic, CMS page content, and photo album link all in one combined build."
Review cycle — JG + Marty review visual recap,Post-event recap,Comms,All events,JG + Marty + Christina,10,days,after event,,,,none,JG and Marty review the built visual recap. Christina makes edits.
QA recap before going live,Post-event recap,Comms,All events,Christina,12,days,after event,,,,none,"QA checklist: all photo links work, all headshots correct, all names correct, event album link works, Webflow page renders correctly on mobile and desktop, no broken images."
Make recap live + share link with TBD,Post-event recap,Comms,All events,Christina,2,weeks,after event,,,,none,Make the Webflow link live. Share with TBD for inclusion in 1:1 follow-up emails. Share with the broader team.
Christina sends TBD organized operator photo folders,1:1 operator follow-up,Comms,All events,Christina,1,days,after event,,,,none,Send TBD the Google Drive folders with Robin's organized operator photos for 1:1 emails.
Create 1:1 follow-up copy doc + template,1:1 operator follow-up,Comms,All events,Christina + TBD,1,weeks,after event,,,,none,Christina creates structure + optional Claude template. TBD and JG own the copy.
Edit 1:1 email copy doc + template; review + approve,1:1 operator follow-up,Comms,All events,TBD + JG,10,days,after event,,,,none,Personalized per operator — references the event + a personal note from JG. TBD drafts; JG reviews.
Stage 1:1 emails,1:1 operator follow-up,Comms,All events,TBD + JG,10,days,after event,,,,none,Stage all 1:1 operator emails for final QA and send.
Attach organized photo from Robin's folders,1:1 operator follow-up,Comms,All events,TBD,10,days,after event,,,,none,TBD pulls each operator's individual photo from Robin's organized folders for individual email attachment.
QA 1:1 emails before send,1:1 operator follow-up,Comms,All events,TBD,10,days,after event,,,,none,"Verify: correct photo per operator, recap link is correct and live, no duplicate sends, copy is personalized not generic, all names spelled correctly."
Send 1:1 emails individually,1:1 operator follow-up,Comms,All events,TBD + JG,10,days,after event,,,,none,TBD confirms photos + copy per operator. Sends individually — each with their personal photo + the live recap link. JG reviews selectively.
Invited but non-attendee follow-up email,1:1 operator follow-up,Comms,All events,TBD + JG,3,weeks,after event,,,,none,"OPTIONAL / conditional. Send a personalized follow-up to people who were invited but did not attend — including no-shows, cancellations, and anyone who never registered. Copy acknowledges they missed it, shares a link to the recap, and keeps the relationship warm. Decide per event whether to run this."
